Index,Parcel List
199,19-04-18-0-000-039.000
200,19-04-18-0-000-040.000
201,19-04-19-0-000-001.000
202,19-04-19-0-000-001.001
203,19-04-19-0-000-001.002
204,19-04-19-0-000-001.004
205,19-04-19-0-000-001.005
206,19-04-19-0-000-001.006
207,19-04-19-0-000-001.008
208,19-04-19-0-000-001.009
209,19-04-19-0-000-001.011
210,19-04-19-0-000-001.012
211,19-04-19-0-000-001.013
212,19-04-19-0-000-002.000
213,19-04-19-0-000-002.002
214,19-04-19-0-000-002.003
215,19-04-19-0-000-002.004
216,19-04-19-0-000-003.000
217,19-04-19-0-000-003.001
218,19-04-19-0-000-004.000
219,19-04-19-0-000-005.000
220,19-04-19-0-000-006.000
221,19-04-19-0-000-006.001
222,19-04-19-0-000-007.000
223,19-04-19-0-000-007.001
224,19-04-19-0-000-008.000
225,19-04-19-0-000-008.001
226,19-04-19-0-000-009.000
227,19-04-19-0-000-010.000
228,19-04-19-0-000-010.001
229,19-04-19-0-000-010.002
230,19-04-19-0-000-010.003
231,19-04-19-0-000-010.004
232,19-04-19-0-000-010.005
233,19-04-19-0-000-010.006
234,19-04-19-0-000-011.000
235,19-04-19-0-000-012.000
236,19-04-19-0-000-012.001
237,19-04-19-0-000-012.002
238,19-04-19-0-000-012.003
239,19-04-19-0-000-012.004
240,19-04-19-0-000-012.005
241,19-04-19-0-000-012.006
242,19-04-19-0-000-012.007
243,19-04-19-0-000-012.008
244,19-04-19-0-000-012.009
245,19-04-19-0-000-012.011
246,19-04-19-0-000-012.013
247,19-04-19-0-000-012.014
248,19-04-19-0-000-012.015
249,19-04-19-0-000-012.016
250,19-04-19-0-000-012.017
251,19-04-19-0-000-012.018
252,19-04-19-0-000-013.000
253,19-04-19-0-000-013.001
254,19-04-19-0-000-013.002
255,19-04-19-0-000-014.000
256,19-04-19-0-000-015.000
257,19-04-19-0-000-015.002
258,19-04-19-0-000-015.003
259,19-04-19-0-000-015.004
260,19-04-19-0-000-016.000
261,19-04-19-0-000-017.000
262,19-04-19-0-000-018.000
263,19-04-19-0-000-018.001
264,19-04-19-0-000-018.002
265,19-04-19-0-000-018.003
266,19-04-19-0-000-019.000
267,19-04-19-0-000-019.001
268,19-04-19-0-000-019.002
269,19-04-19-0-000-019.003
270,19-04-19-0-000-019.004
271,19-04-19-0-000-019.005
272,19-04-19-0-000-019.006
273,19-04-19-0-000-019.007
274,19-04-19-0-000-019.008
275,19-04-19-0-000-019.009
276,19-04-19-0-000-019.010
277,19-04-19-0-000-019.011
278,19-04-19-0-000-019.012
279,19-04-19-0-000-019.013
280,19-04-19-0-000-019.014
281,19-04-19-0-000-019.015
282,19-04-19-0-000-019.016
283,19-04-19-0-000-019.017
284,19-04-19-0-000-019.018
285,19-04-19-0-000-020.000
286,19-04-19-0-000-020.001
287,19-04-19-0-000-020.002
288,19-04-19-0-000-021.000
